Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Length,Width,Destination
01/06/2024 08:00:00,Class A,224100001,,,Under way using engine,,,,,9345673,EAES1,ESTRECHO EXPRESS,Passenger,100.0,18.0,TANGER
01/06/2024 08:00:00,Class A,224100001,35.995,-5.61,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:04:00,Class A,224100001,35.98553,-5.62263,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:08:00,Class A,224100001,35.97605,-5.63526,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:12:00,Class A,224100001,35.96658,-5.64789,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:16:00,Class A,224100001,35.95711,-5.66053,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:20:00,Class A,224100001,35.94763,-5.67316,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:24:00,Class A,224100001,35.93816,-5.68579,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:28:00,Class A,224100001,35.92868,-5.69842,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:32:00,Class A,224100001,35.91921,-5.71105,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:36:00,Class A,224100001,35.90974,-5.72368,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:40:00,Class A,224100001,35.90026,-5.73632,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:44:00,Class A,224100001,35.89079,-5.74895,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:48:00,Class A,224100001,35.88132,-5.76158,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:52:00,Class A,224100001,35.87184,-5.77421,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:56:00,Class A,224100001,35.86237,-5.78684,Under way using engine,0,,225,225,,,,,,,
01/06/2024 09:00:00,Class A,224100001,35.85289,-5.79947,Under way using engine,0,,225,225,,,,,,,
01/06/2024 09:04:00,Class A,224100001,35.84342,-5.81211,Under way using engine,0,,225,225,,,,,,,
01/06/2024 09:08:00,Class A,224100001,35.83395,-5.82474,Under way using engine,0,,225,225,,,,,,,
01/06/2024 09:12:00,Class A,224100001,35.82447,-5.83737,Under way using engine,0,,225,225,,,,,,,
01/06/2024 09:16:00,Class A,224100001,35.815,-5.85,Under way using engine,0,,225,225,,,,,,,
01/06/2024 08:00:00,Class A,224100002,,,Under way using engine,,,,,9345685,EAES2,RIF TRADER,Cargo,150.0,24.0,CEUTA
01/06/2024 08:00:00,Class A,224100002,36.085,-5.405,Under way using engine,0,,170,170,,,,,,,
01/06/2024 08:05:00,Class A,224100002,36.076,-5.398,Under way using engine,0,,170,170,,,,,,,
01/06/2024 08:10:00,Class A,224100002,36.067,-5.391,Under way using engine,0,,170,170,,,,,,,
01/06/2024 08:15:00,Class A,224100002,36.058,-5.384,Under way using engine,0,,170,170,,,,,,,
01/06/2024 08:20:00,Class A,224100002,36.049,-5.377,Under way using engine,0,,170,170,,,,,,,
01/06/2024 08:25:00,Class A,224100002,36.04,-5.37,Under way using engine,0,,170,170,,,,,,,
01/06/2024 08:30:00,Class A,224100002,36.031,-5.363,Under way using engine,0,,170,170,,,,,,,
01/06/2024 08:35:00,Class A,224100002,36.022,-5.356,Under way using engine,0,,170,170,,,,,,,
01/06/2024 09:25:00,Class A,224100002,36.013,-5.349,Under way using engine,0,,170,170,,,,,,,
01/06/2024 09:30:00,Class A,224100002,36.004,-5.342,Under way using engine,0,,170,170,,,,,,,
01/06/2024 09:35:00,Class A,224100002,35.995,-5.335,Under way using engine,0,,170,170,,,,,,,
